Reference|Sample|Age|Age_sigma|Latitude|Longitude|Location|GeodynamicContext|SiO2|TiO2|Al2O3|Cr2O3|FeOT|MnO|MgO|CaO|Na2O|K2O|NiO|P2O5|Nb|Ta|Rb|Fe2_FeT|Fe2O3_TiO2|SiO2_Primary|TiO2_Primary|Al2O3_Primary|Cr2O3_Primary|Fe2O3_Primary|FeO_Primary|MnO_Primary|MgO_Primary|CaO_Primary|Na2O_Primary|K2O_Primary|NiO_Primary|P2O5_Primary|T_OL|T_p|OL_Mg|F_AFM|Pi|Pf|Residual_Mineralogy
HAUFF et al.,2000|s.84|20||5.7487|-82.8882|MIDDLE AMERICA TRENCH / GUATEMALA TRENCH / SITE 84-1 / PACIFIC OCEAN|SUBMARINE RIDGE|49.26|1.09|15.77||8.487|0.16|7.01|12.65|2.38|0.17||0.09|0.96|0.06|3.76|0.94220572640509|0.5|48.4364951894938|0.880877568949062|12.6652016420715||0.436806777824755|8.91176406831301|0.166671565044006|16.1760124976154|10.2102626292988|1.90752317655581|0.136251655468272||0.072133229365556|1364.7107410549|1465.65423348467|0.913606833207585|0.259186895633928|3.5|1.5|Harzburgite
HAUFF et al.,2000|s.BN19|90||11|-85.5|CARIBBEAN-COLOMBIAN PLATEAU / COSTA RICA / NICOYA COMPLEX / PACIFIC OCEAN|OCEANIC PLATEAU|50.16|0.88|14.73||8.568|0.17|8.6|12.75|1.86|0.16||0.07|2.47|0.15|2.28|0.953781512605042|0.5|49.2270571173498|0.737908438592114|12.2901407221689||0.366472569291131|8.78308205904521|0.173104664589224|16.003419756796|10.6780699680348|1.54917949745796|0.133262752469502||0.058302454205407|1355.59754042345|1461.18461175574|0.912755153528769|0.274746278712459|3.4|1|Harzburgite
 ARCULUS 1976|s.505|10.5|3.5|12.08|-61.732|LESSER ANTILLES / LESSER ANTILLES / GRENADA / MOUNT MORITZ / CARIBBEAN SEA / ATLANTIC OCEAN|CONVERGENT MARGIN|46.39|1|16.66||8.55|0.17|10.9|12.06|2.47|0.53||0.31|12||5|0.947368421052632|0.5|46.5145106741845|0.96136204170257|15.9959048801059||0.479889159077321|8.26329103490158|0.171655489222642|12.8460070219316|11.5905134657821|2.37065244584197|0.50868250862196||0.297531278627939|1305.48562197331|1378.53412952901|0.904255358545423|0.003917446357638|2.7|2.2|Spinel Peridotite
BORG et al.,1997|s.LC87-1056|0.07||40.492|-121.508|CASCADES / HIGH CASCADES / CALIFORNIA / LASSEN VOLCANIC CENTER / PACIFIC OCEAN|CONVERGENT MARGIN|50.57|0.81|17.39||7.67|0.15|8.24|12.09|2.57|0.23||0.1|6|0.1|5.5|0.952477183833116|0.5|49.3917798338978|0.713827957532933|15.2719156312499||0.35535611281786|7.72448437792096|0.152604901170216|13.1971291459515|10.6483767871828|2.25497582701704|0.201807175180513||0.087742250078484|1307.25292447726|1387.80809928784|0.908610603993621|0.213757749566264|2.8|1.2|Spinel Peridotite
YAMAMOTO 1988|s.HU-41|1.3|1.3|41.5|139.37|HONSHU ARC / NORTHEASTERN HONSHU ARC / OSHIMA-OSHIMA / OSHIMA-OSHIMA / HIGASHIYAMA LAVA / PACIFIC OCEAN|CONVERGENT MARGIN|48.61|0.82|15.14||8.555|0.19|11.78|10.7|1.98|1.2||0.32||||0.956867329047341|0.5|48.3358338095885|0.766949220082529|14.1346306670674||0.382512220221387|8.33232346305699|0.190315288192303|14.5895906657328|10.0024964446561|1.84725413667889|1.11954796162357||0.298546123099619|1343.16709582378|1424.38237595329|0.911402299529115|0.223805942868558|3.1|1.5|Spinel Peridotite
YAMAMOTO 1988|s.NL-542|1.3|1.3|41.5|139.37|HONSHU ARC / NORTHEASTERN HONSHU ARC / OSHIMA-OSHIMA / OSHIMA-OSHIMA / NISHIYAMA LAVA / PACIFIC OCEAN|CONVERGENT MARGIN|49|0.85|15.12||8.569|0.19|11.53|11.02|1.86|1.19||0.32||||0.955322096513507|0.5|48.4473296864365|0.783497545945706|13.9076621271237||0.390969098994787|8.32472035037612|0.189582406307526|14.7071592930936|10.1517178526578|1.70952304114526|1.09372710696928||0.294111490949721|1343.15478539421|1427.45551088679|0.911835291438315|0.243254816565633|3.3|1.4|Spinel Peridotite
YAMAMOTO 1988|s.NL-543|1.3|1.3|41.5|139.37|HONSHU ARC / NORTHEASTERN HONSHU ARC / OSHIMA-OSHIMA / OSHIMA-OSHIMA / NISHIYAMA LAVA / PACIFIC OCEAN|CONVERGENT MARGIN|48.95|0.82|14.67||8.453|0.19|12.49|10.42|1.87|1.21||0.31||||0.956346859103277|0.5|48.7898287318147|0.782717607869853|13.9850509505561||0.390659205584501|8.18775279445914|0.190254946945587|14.5012140716237|9.94243704009408|1.7817871083976|1.15292107013962||0.295376472515111|1340.54231525805|1422.07076484615|0.911792335977808|0.257587006247337|3.3|1.4|Harzburgite
YAMAMOTO 1988|s.NU-105|1.3|1.3|41.5|139.37|HONSHU ARC / NORTHEASTERN HONSHU ARC / OSHIMA-OSHIMA / OSHIMA-OSHIMA / NISHIYAMA LAVA / PACIFIC OCEAN|CONVERGENT MARGIN|48.54|0.8|13.85||8.568|0.19|14.97|9.87|1.73|1.13||0.29||||0.957983193277311|0.5|48.6472479053075|0.810007784208254|14.0270869939324||0.405171247838182|8.20730780496437|0.190418182002567|14.5276413373407|9.99439516768036|1.75236564690014|1.14460877514286||0.293749154682682|1340.61282605931|1422.76214377053|0.911851754638506|0.255059022573457|3.3|1.4|Harzburgite
YAMAMOTO 1988|s.NU-29|1.3|1.3|41.5|139.37|HONSHU ARC / NORTHEASTERN HONSHU ARC / OSHIMA-OSHIMA / OSHIMA-OSHIMA / NISHIYAMA LAVA / PACIFIC OCEAN|CONVERGENT MARGIN|48.68|0.8|14.13||8.431|0.19|14.19|9.98|1.74|1.14||0.28||||0.957300438856601|0.5|48.8640729054975|0.802138710374392|14.1673354033626||0.40105121730284|8.10410181483313|0.190728190422448|14.2956870275074|10.0065801140072|1.74457279526735|1.14299596931309||0.280735852111988|1335.53640537986|1416.68984890928|0.91138346556109|0.255506609528576|3.3|1.4|Harzburgite
SMITH et al.,1998|s.VP-147|32.5|32.5|18.2|-66.375|GREATER ANTILLES / GREATER ANTILLES / PUERTO RICO / CARIBBEAN SEA / ATLANTIC OCEAN|CONVERGENT MARGIN|51.11|1|19.25||7.91|0.15|3.25|14.48|1.85|0.7||0.26|4||11|0.943109987357775|0.5|47.2649422554027|0.66420920101527|12.6586068525637||0.327507071939238|9.55520999580668|0.165807228339786|17.9047600413731|9.61836760926096|1.21177616617518|0.458509900714933||0.170303677408404|1394.53341529245|1510.14738088358|0.916766998687267|0.281903621889227|3.8|1.9|Harzburgite
SHUTO et al,1985|s.R05|22||37.8387|140.6423|HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / RYOZEN BASALT / PACIFIC OCEAN|CONVERGENT MARGIN|49.68|0.51|14.3||8.244|0.16|12.25|11.03|1.49|0.27||0.08|32||20.4|0.972161572052402|0.5|50.0556553374537|0.488803378586597|13.6848737552014||0.243878938217656|8.25590757993911|0.162275142532358|14.7821614118414|10.5666905490887|1.42501810958552|0.258224758112812||0.076511039440833|1330.7941928236|1429.41478351418|0.910231003108822|0.275520946699412|3.2|1|Harzburgite
SHUTO et al,1985|s.R09|22||37.8573|140.6971|HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / RYOZEN BASALT / PACIFIC OCEAN|CONVERGENT MARGIN|48.86|0.51|15.05||9.184|0.16|12.7|10.9|1.48|0.13||0.06|34.7||24.5|0.975010888501742|0.5|48.3942931886349|0.460762859071581|13.5630748053538||0.229509169124384|9.09051864158051|0.158738588972219|16.760602987255|9.83943971123224|1.33205321687878|0.117004674455568||0.054002157441032|1369.13124639866|1480.7561491858|0.914121514496599|0.278561372609928|3.7|1.2|Harzburgite
DONNELLY-NOLAN et al.,1991|s.1332M|0.0105|0.00525|41.3298|-121.6148|CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN|CONVERGENT MARGIN|47.7|0.6|18.4||8.31|0.14|10.4|12.1|2.24|0.07||0.05||||0.967509025270758|0.5|47.1449990282389|0.555527861902945|17.0018763405491||0.277040671157854|8.19563189393936|0.140155680369604|13.3074957234727|11.1978861872611|2.06857034464531|0.064642823270166||0.046173445192976|1306.1103246159|1390.71886452718|0.906480103614489|0.071464202979342|2.8|2|Spinel Peridotite
DONNELLY-NOLAN et al.,1991|s.1380M|0.0105|0.00525|41.4633|-121.6852|CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN|CONVERGENT MARGIN|47.8|0.63|18.4||8.5|0.15|9.95|12.12|2.29|0.07||0.05||||0.96664705882353|0.5|47.0673388503387|0.567609290231022|16.5326427707542||0.282799109327605|8.43358632971738|0.15022626226955|13.8894232420501|10.9127365152177|2.05590463606417|0.062844246517246||0.044888747512318|1319.18113259095|1406.0325541709|0.907594922920628|0.086517900702025|3|2|Spinel Peridotite
DONNELLY-NOLAN et al.,1991|s.80-2B|0.0105|0.00525|41.3833|-121.6605|CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / PACIFIC OCEAN|CONVERGENT MARGIN|48.4|0.95|17.5||9.19|0.16|8.87|12.01|2.58|0.18||0.11||||0.95348204570185|0.5|47.0193180617995|0.78883588943639|14.4628674224178||0.391935467535626|9.12719604484818|0.159651789156851|15.7209278423657|9.96115213122468|2.12882843419351|0.1485229140135||0.09076400300825|1360.92699625471|1453.85814022477|0.911084439850018|0.141103875073966|2.4|2|Spinel Peridotite
BATEMAN et al.,2001|s.K369|2695|5|-30.75|121.45|WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|49.64|0.65|13.33||9.029|0.17|7.77|12.34|1.23|0.01||0.08|3||29|0.967604385867759|0.5|49.2710174034852|0.504267550207365|10.2667152091596||0.249431699212567|9.82607600222459|0.175385219691123|19.1402742009598|9.55375627518092|0.944003046250638|0.007674821514233||0.061398572113863|1407.34599065311|1541.63843404247|0.917156781914797|0.333741785490239|4.2|1|Harzburgite
BATEMAN et al.,2001|s.K374|2695|5|-30.75|121.45|WEST AUSTRALIAN CRATON / YILGARN CRATON / EASTERN GOLDFIELDS SUPERTERRANE / KALGOORLIE TERRANE - KAMBALDA DOMAIN|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|47.84|0.62|13.57||8.955|0.19|7.17|12.3|2.3|0.01||0.08|5||29|0.968844221105528|0.5|48.324813291342|0.484596061705232|10.5273978052944||0.239687712191118|9.8735500410686|0.199951431843252|18.9070114380067|9.59507727617204|1.77832818722442|0.007731861683584||0.061854893468676|1414.30939308906|1535.71262027957|0.91763718166596|0.303234560839739|4|1.2|Harzburgite
POLAT et al.,1999|s.DH95-3|2732.5|37.5|48.8|-85|SUPERIOR PROVINCE_ARCHEAN / WAWA GREENSTONE BELT / WHITE RIVER-DAYOHESSARAH BELT / DAYOHESSARAH ASSEMBLAGE|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|48.31|0.64|13.33||11.17|0.19|11.8|11.9|1.29|0.07||0.04|1.56|0.1||0.974216651745748|0.5|46.7731013503905|0.485045899173603|10.0478990183095||0.240149332709464|10.7546787373418|0.179210475633106|21.468367916996|9.00089393884205|0.968101997485027|0.052532666530195||0.030018666588683|1452.34335027388|1600.28049346045|0.922378098535073|0.327295455932774|5.3|3|Harzburgite
HAMURO 1985|s.33|0.5|0.5|34.75|139|IZU-BONIN ARC / IZU ARC / HONSHU / PACIFIC OCEAN|CONVERGENT MARGIN|49.45|0.85|17.71||9.032|0.17|7.16|12.66|2.18|0.29||0.13||||0.957650575730735|0.5|47.3527722261845|0.649878986730719|13.4484917120376||0.321946164249558|9.3497917373751|0.171231659788422|17.0711719780845|9.66516253072873|1.65139444250362|0.219680912076169||0.098477650241041|1381.58571475443|1488.75582590597|0.914868904248099|0.244821717637856|3.7|1.8|Spinel Peridotite
GROVE et al.,1988|s.1156M|0.000585|0.000585|41.58|-121.58|CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / BURNT LAVA FLOW / PACIFIC OCEAN|CONVERGENT MARGIN|49.4|0.64|18.4||7.77|0.15|8.97|11.8|2.55|0.28||0.08|2|0.16|7|0.962934362934363|0.5|48.4945718983068|0.578127964509894|16.5755996171264||0.288070052677006|7.76970040271463|0.15144754718721|12.8688893151538|10.6539561607927|2.29555823226989|0.25206129609238||0.072017513169252|1301.41982522863|1379.13913618812|0.907117275734137|0.139331815005429|2.6|1.5|Spinel Peridotite
GROVE et al.,1988|s.659MA|0.000585|0.000585|41.58|-121.58|CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / BURNT LAVA FLOW / PACIFIC OCEAN|CONVERGENT MARGIN|48.4|0.6|18.4||7.94|0.15|10.1|12|2.1|0.19||0.07|2|0.35|2|0.965994962216625|0.5|47.8541548787497|0.558534793628042|17.0954357133774||0.278582913728423|7.84540430638547|0.150604129736458|12.8596899045858|11.1660744384784|1.95008039609896|0.176435845361335||0.065002679869965|1295.48835096919|1378.89591481802|0.906495548818421|0.110282848283518|2.6|1.6|Spinel Peridotite
GROVE et al.,1988|s.659MB|0.000585|0.000585|41.58|-121.58|CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / BURNT LAVA FLOW / PACIFIC OCEAN|CONVERGENT MARGIN|47.9|0.62|18.4||7.92|0.15|9.9|11.97|2.09|0.19||0.07|1|0.04|2|0.964772727272727|0.5|47.691640848486|0.57917488505174|17.1535399993296||0.288839597813022|7.88423723748073|0.151785722805043|12.8842067513959|11.1769844580875|1.94733793364263|0.177030721240239||0.065221844667457|1296.0616523746|1379.54407926646|0.906379406560446|0.10148275820775|2.7|1.8|Spinel Peridotite
GROVE et al.,1988|s.716MA|0.000585|0.000585|41.58|-121.58|CASCADES / HIGH CASCADES / CALIFORNIA / MEDICINE LAKE VOLCANO / BURNT LAVA FLOW / PACIFIC OCEAN|CONVERGENT MARGIN|48.6|0.67|17.9||7.79|0.14|9.44|11.7|1.99|0.32||0.08|2|0.13|7|0.961296534017971|0.5|48.4458448544706|0.617173090027568|16.4463776127577||0.307577851836386|7.83793697692153|0.14272806787168|13.2363117918422|10.771688363559|1.82710425419226|0.293805709216846||0.073451427304212|1303.75706019835|1388.84172145922|0.908043527018118|0.178278302603469|2.8|1.5|Spinel Peridotite
LAHAYE et al.,1995|s.A5|2710|10|48.47|-81.4|SUPERIOR PROVINCE_ARCHEAN / ABITIBI GREENSTONE BELT / SOUTHERN ABITIBI VOLCANIC ZONE / UPPER SOUPERGROUP|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|45.1|0.42|8.25||10.26|0.19|26.39|7.72|0|0.01||0.03||||0.981578947368421|0.5|46.6632310805804|0.501655691840785|9.86345940622879||0.252176870415538|10.9261763315904|0.207594480729752|22.3129214663201|9.22475098269119|0|0.01200842240074||0.03602526720222|1454.3366385892|1621.32877093033|0.9245632701328|0.35331549206485|5.6|3.5|Harzburgite
VILLAUME & ROSE 1977 |s.2048|2701.5|3.5|48.2|-80.1|SUPERIOR PROVINCE_ARCHEAN / ABITIBI GREENSTONE BELT / SOUTHERN ABITIBI VOLCANIC ZONE|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|43.5|0.32|7.38|0.4|10.15|0.2|25.3|7.13|0.84|0.06|0.17|||||0.985812807881773|0.5|46.3181699456984|0.389890183926994|9.0004140877493|0.465100799034292|0.195913671428258|11.1400138704845|0.224293937808585|22.3425507797079|8.6908360040464|1.02854677499836|0.073467626785597|0.130802318331375|0|1475.07640211282|1622.06502797076|0.923188740464788|0.318263665109182|5.6|3.5|Garnet Peridotite
POLAT et al.,2002|s.242719C|3750|50|65.4314|-49.78|NORTH ATLANTIC CRATON_ARCHEAN / GREENLAND - ISUA-GODTHAABSFJORD GREENSTONE BELT / CENTRAL ISUA TECTONIC DOMAIN (GARBENSCHIEFER)|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|47.78|0.24|17.29||8.43|0.21|11.62|12|0.04|1.21||0.24|0.255||1.2|0.987188612099644|0.5|47.5000608324116|0.219511311615523|15.7759766765175||0.109383461438332|8.51836888108119|0.210151144886313|15.3407626745921|10.9676070379315|0.036461153812778|1.10294990283652||0.218766922876665|1333.85666678678|1443.97733654053|0.912811608515186|0.268990638216262|3.3|1.5|Harzburgite
FODEN et al.,2002|s.1131-16|531.5|10.5|-35.0667|139.0167|AUSTRALIA / SOUTH AUSTRALIAN CRATON / SOUTH AUSTRALIA / KANMANTOO GROUP|INTRAPLATE VOLCANICS|49.38|1.04|16.05||8.46|0.17|8.01|12.25|2.23|0.485||0.134|7.6||10.3|0.94468085106383|0.5|48.4639435004659|0.869958424838055|13.3576645607393||0.432070927867672|8.62934723122001|0.174129915046536|15.4698607698104|10.2357745286757|1.8529195560479|0.402989230799655||0.111341354488977|1352.68327153081|1447.33542426864|0.912696788018997|0.252113020289744|3.3|1.3|Harzburgite
FODEN et al.,2002|s.1131-8|531.5|10.5|-35.0667|139.0167|AUSTRALIA / SOUTH AUSTRALIAN CRATON / SOUTH AUSTRALIA / KANMANTOO GROUP|INTRAPLATE VOLCANICS|48.84|1|17.42||8.26|0.16|7.2|12.68|2.06|0.37||0.12|4.8||8.9|0.945520581113802|0.5|47.9623081401603|0.828797224736494|14.3591726855162||0.411482918090515|8.58628280961286|0.165847873781349|15.0888403228933|10.4987051429474|1.69530962253292|0.304497359386981||0.098755900341724|1342.11715624962|1437.41629264241|0.911462715223766|0.213284219552084|3.3|1.5|Spinel Peridotite
FODEN et al.,2002|s.88-WS1|531.5|10.5|-35.0667|139.0167|AUSTRALIA / SOUTH AUSTRALIAN CRATON / SOUTH AUSTRALIA / KANMANTOO GROUP|INTRAPLATE VOLCANICS|49.45|1.09|18.74||7.94|0.14|6.47|12.64|2.11|0.4||0.12|4.7||6.1|0.938224181360202|0.5|48.0529252948532|0.895227285955989|15.3062938628635||0.444476573054774|8.2834919346149|0.145951960292984|14.3528001466278|10.3739276442432|1.72081755806527|0.326221338021852||0.097866401406556|1327.6899560026|1418.18584294144|0.910229647013441|0.203197663092443|3|1.5|Spinel Peridotite
HOLLINGS et al.,2000|s.82GRS-1582|2840||51.25|-91.25|SUPERIOR PROVINCE_ARCHEAN / UCHI SUBPROVINCE / MEEN-DEMPSTER GREENSTONE BELT / KAMINISKAG ASSEMBLAGE|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|49.94|0.64|15.06||10.73|0.21|6.8|13.55|1.57|0.27||0.02|1.65|0.11|4.5|0.973159366262814|0.5|46.6109091630177|0.404874119177917|9.43456191107668||0.19923315558038|11.0029495581353|0.199678356384134|22.4409716153396|8.54877940447726|0.977487669566239|0.168102975020946||0.012452072223774|1470.64626755429|1624.50962280731|0.924164461042007|0.347461051460386|5.8|3|Garnet Peridotite
ARNDT & NESBITT 1984|s.M610|2700||48.2|-80.1|SUPERIOR PROVINCE_ARCHEAN / ABITIBI GREENSTONE BELT / SOUTHERN ABITIBI VOLCANIC ZONE|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|46.95|0.52|10.1||11.43|0.2|18.9|9.5|0.76|0.01||||||0.979527559055118|0.5|46.932899667546|0.468981918519501|9.09587826971668||0.23354749145579|11.0077063332825|0.194375068070771|22.8123450167103|8.56260635615635|0.682677282716926|0.008982595825223||0|1470.87521966694|1633.71920832436|0.925025643261444|0.368774838119172|6|3|Harzburgite
ARNDT & NESBITT 1982|s.P9-154|2680||48.2|-80.1|SUPERIOR PROVINCE_ARCHEAN / ABITIBI GREENSTONE BELT / SOUTHERN ABITIBI VOLCANIC ZONE / FRED^S FLOW|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|47.38|0.54|11.04||11.53|0.2|14.99|11.29|1.31|0.04||0.05|0.1||2|0.978924544666088|0.5|46.6875311045811|0.442612942331665|9.0181822622091||0.219703802964765|11.013337544715|0.190024158864336|22.0482087217446|9.24119455832775|1.06597030327349|0.032548711550336||0.04068588943792|1463.88777330992|1614.74439478354|0.922898717635123|0.320259092969024|5.5|3|Garnet Peridotite
BARNES 1985|s.HTA21|2700||48.47|-81.33|SUPERIOR PROVINCE_ARCHEAN / ABITIBI GREENSTONE BELT / SOUTHERN ABITIBI VOLCANIC ZONE / UPPER SOUPERGROUP|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|47.22|0.48|8.96||11.09|0.16|22.46|8.42|0.03|1.15||0.02|||37|0.980522993688007|0.5|47.0643480939398|0.468539014660701|8.74411255918355||0.234079604122017|10.7861669178047|0.15840896831657|23.1557962274613|8.21815059390133|0.029259950515252|1.121631436418||0.019506633676835|1477.99295027725|1642.21573659547|0.927083040480298|0.421465759768987|6|3|Harzburgite
PEARCE et al.,1999|s.129-801C-5|174||18.6423|-156.3598|PIGAFETTA BASIN / SITE 801 / PACIFIC OCEAN|OCEAN-BASIN FLOOD BASALT|46.92|0.89|15.28||8.67|0.14|10.58|11.03|1.94|0.01||0.06|0.3|0.02|1.2|0.953806228373702|0.5|48.034751752333|0.817434015595813|13.989646690255||0.40689875915232|8.81299018157877|0.144905475383342|15.8342485407491|10.1212223245118|1.7738957140573|0.009143792340502||0.054862754043009|1355.52562888785|1456.79874041001|0.912992990394845|0.246122483466737|3.4|1.5|Harzburgite
MILLWARD et al.,1984|s.GTJ422|105.5||5|-77.1|CARIBBEAN-COLOMBIAN PLATEAU / ECUADOR / PACIFIC OCEAN|OCEANIC PLATEAU|50.5|1.08|14.4||9.21|0.17|8.5|12.98|1.65|0.18||0.09|5|0.3|2|0.947231270358306|0.5|48.740516581321|0.856767117791984|11.3558107985146||0.424811952486586|9.29904843718857|0.16997583612883|17.3618670813436|10.2807596974947|1.29803652148679|0.141603984162196||0.070801992081098|1379.82882985078|1496.22890652821|0.914914853212388|0.289739587656615|3.8|1|Harzburgite
REGELOUS et al.,2003|s.144-884E-1|81||51.4506|-171.3369|HAWAIIAN-EMPEROR CHAIN / DETROIT / SITE 884 / PACIFIC OCEAN|SEAMOUNT|48.22|0.96|19.94||7.67|0.12|6.18|13.69|2.56|0.09||0.06|2.03|0.135|1.1|0.94367666232073|0.5|47.1475857201451|0.815337990548109|16.8571843550338||0.405345622549872|7.99805544914892|0.125858952797675|12.7382652916992|11.6238527907645|2.16184332026598|0.076002304228101||0.050668202818734|1294.10789998098|1375.68426152069|0.905239384225574|0.043294789598061|2.7|2|Spinel Peridotite
REGELOUS et al.,2003|s.144-884E-145-11,10R-4,6-10|81||51.4506|171.3369|HAWAIIAN-EMPEROR CHAIN / DETROIT / SITE 884 / PACIFIC OCEAN|SEAMOUNT|48.09|1.03|18.85||7.91|0.12|7.18|13.45|2.45|0.12||0.08|2.3|0.147|1.22|0.941403286978508|0.5|47.3012336708337|0.897286085535992|16.356012978948||0.446435728588365|8.03229074306431|0.124108338629994|12.8339230868937|11.7115158126337|2.12382045639125|0.104023859088551||0.069349239392367|1295.9283745955|1378.21459541393|0.905270899536814|0.05031381898921|2.7|2|Spinel Peridotite
ECHEVERRIA & AITKEN 1986|s.GOR-134|105.5|39.5|3|-78.32|CARIBBEAN-COLOMBIAN PLATEAU / GORGONA ISLAND / PACIFIC OCEAN|OCEANIC PLATEAU|45.8|0.24|9.9|0.33|10.2||23.8|8.6|0.75|||||||0.989411764705882|0.5|46.55826350692|0.269335539623366|11.1226544426703|0.357090979453643|0.135168413354103|10.514548809461|0|20.542188809918|9.65594691513644|0.844802583463142|0||0|1435.71625545492|1577.06015219106|0.920977856275977|0.305966329666862|5|3|Harzburgite
KERR et al.,2002|s.COL311|83|17|2.42|-76.83|CARIBBEAN-COLOMBIAN PLATEAU / ECUADOR / PACIFIC OCEAN|OCEANIC PLATEAU|51.05|0.74|14.69||8.67|0.16|9.29|12.17|1.85|0.09||0.06|2.3||2|0.96159169550173|0.5|49.7300380390527|0.622347834025982|12.297392461373||0.30919914524181|8.81405304662262|0.160760326107001|16.1723878106366|10.2224746059035|1.54599572620905|0.075210602896656||0.050140401931104|1358.76495085864|1465.56041667441|0.9125319479546|0.286470316366168|3.5|1|Harzburgite
KELLER et al.,2002|s.P615.1|1.3|17|-62.05|-58.4|SCOTIA ARC / SOUTH SHETLAND ISLANDS / KING GEORGE ISLAND / ATLANTIC OCEAN|CONVERGENT MARGIN|47.97|0.51|20.06||7.66|0.13|6.82|12.7|2.04|0.58||0.11||||0.970039164490862|0.5|47.2986860045565|0.435122296508972|17.0345109562273||0.21628362541969|8.17205529080084|0.135806533827556|13.5629113438951|10.8291169001532|1.73026900335752|0.491939226444786||0.093298818808494|1311.99663606884|1397.44724904912|0.907845044282218|0.116714385622082|3|1.8|Spinel Peridotite
BENCE et al.,1975|s.15-146-42-|83|17|15.1165|-69.3778|CARIBBEAN-COLOMBIAN PLATEAU / VENEZUELAN BASIN / SITE 146 / PACIFIC OCEAN|OCEANIC PLATEAU|50.6|0.98|15.8|0|9.42|0.2|8.78|12.8|2.37|0.09||||||0.953184713375796|0.5|48.004526534535|0.767335020958028|12.3007305027498||0.380621826450713|9.29046747384018|0.195659640364662|17.1424319131333|10.0073501633382|1.8409667932412|0.069910131388907||0|1382.12660703022|1490.58906307632|0.91524250143026|0.268258239728815|3.7|1.5|Harzburgite
SMITH IAN et al.,2003|s.45655|0.005||-30.7|-178.42|KERMADEC ARC / KERMADEC ISLANDS / MACAULEY / SANDY BAY TEPHRA / PACIFIC OCEAN|CONVERGENT MARGIN|48.78|0.55|20.51||7.999|0.15|5.19|13.43|1.61|0.4||0.09|12||6|0.969058632329041|0.5|47.0025263317867|0.415640462873666|15.3820514510721||0.205754610929398|9.02853959496271|0.159176042018343|16.0942761563253|10.1408183211162|1.20459972216847|0.299279434079123||0.067337872667803|1356.99633773444|1463.53813717124|0.913140457827567|0.215709586343091|3.5|2|Spinel Peridotite
YAMASHITA et al.,1994|s.797C-24R|14.15|0.005|38.6155|134.5363|HONSHU ARC / YAMATO BASIN / SITE 797 / EAST SEA (SEA OF JAPAN) / PACIFIC OCEAN|CONVERGENT MARGIN|48.51|1.08|17.02||7.93|0.16|8.37|11.64|2.82|0.16||0.1|0.9||0.9|0.938713745271122|0.5|48.5089419897741|0.977183022276616|15.3489291132875||0.48656551878827|7.96631557898488|0.165586673474792|13.2455748627078|10.5256776890988|2.54095326478319|0.14416756112245||0.090104725701532|1312.36395491275|1389.08603978418|0.907588951276398|0.133833348979589|2.8|1.5|Spinel Peridotite
SMELLIE 1983|s.3|82.5||-62.35|-59.6|SCOTIA ARC / SOUTH SHETLAND ISLANDS / ROBERT ISLAND / ATLANTIC OCEAN|CONVERGENT MARGIN|49.8|0.67|17.1||8.354||9.8|11.39|2.24|0.34||0.12||||0.963909504429016|0.5|48.7085166410907|0.588688808363707|14.9740146227107||0.293028240669418|8.33741118488221|0|14.7372746089111|9.99934574469328|1.9593530122373|0.297401796500305||0.104965339941284|1338.12458656163|1428.24232373139|0.911292873084722|0.242584698978102|3.1|2.3|Harzburgite
